"","s1"
"rich",0
"sympathetic",0
"past",-0.0317629306309664
"inexperienced",-0.465931311522054
"subtly",0
"pink",0
"narrow",0
"alas",0
"reputable",0
"weak",-0.191815665242264
"irrelevant",0
"famous",0.00855790860841947
"disastrous",0
"brave",0
"other",-0.0647286586608979
"comical",0
"nice",0.0343598705305305
"legal",0
"endless",0
"ironic",0
"frustrated",-0.116481192863497
"shit",-0.185974363976659
"unfair",0
"bad",-0.284067464950715
"artistic",0
"unhappy",-0.034439500955759
"firm",0
"mundane",0
"ethical",0
"chilly",0.0203308094009552
"notable",0
"satisfied",0.0751827410975154
"uninspired",0
"drunk",0
"exciting",0
"clean",0.0986194765861458
"incredibly",0
"silly",0
"thinly",0
"flat",-0.136906984928253
"goofy",0
"measly",-0.0782503087828383
"classy",0.00166436765171522
"crushed",0
"artificial",0
"developed",0
"unnecessary",0
"adult",0
"near",0
"ordinary",0
"striking",0
"confused",-0.113302293942715
"innovative",0
"broken",-0.130494080951319
"worth",0.154978802244768
"modern",0.000932151940949742
"consistent",0.067357526464052
"numb",0
"impressively",0
"mighty",0
"shocked",-0.0406040964802837
"confusing",0
"able",0.00287957410213709
"vibrant",0
"alcoholic",0
"enthusiastic",0
"recognizable",0
"illegal",0
"perplexed",0
"previous",-0.0209734384297429
"lively",0
"sickeningly",0
"addicted",0
"remotely",-0.277096390873782
"twisted",-0.00476226825269501
"loving",0
"amazing",0.349076901978423
"ideal",0
"fixed",0
"missing",0
"gentle",0
"pleasant",0.0471656794308472
"normal",-0.0416277579946983
"amateur",0
"common",0
"unbelievably",0
"willing",0
"smooth",0.0272625268576704
"slowly",0
"lol",0.0730534924881229
"direct",-0.0222980691061797
"painful",-0.0743271746038164
"special",0
"sincere",0.071836403716173
"complete",0
"tough",-0.197339637784292
"happily",0.0122355992290979
"meager",-0.118341237821071
"limp",-0.26382027039338
"sad",-0.257085159944542
"abrupt",-0.0338670898624341
"bright",0
"complex",0
"fail",-0.26846686708988
"suitable",-0.00943397280828433
"grief",0
"disliked",0
"thanks",0.479004466153483
"primary",0
"empty",-0.265098673722113
"absurd",-0.279162069154688
"unforgettable",0.131369199747888
"superior",0
"secure",0
"experienced",0
"first",-0.00365508250177343
"legendary",0.225534457310705
"dangerous",0
"frequent",0
"wacky",0
"broad",0
"incompetent",-0.681196949619437
"popular",0
"considerable",0
"peppery",0
"shocking",0
"worst",-0.854904677814965
"crafty",0
"powerful",0
"free",0.0347601888999105
"strong",0
"love",0.195272244389515
"adamant",0
"intriguing",0
"distinct",0.0104759092072859
"effective",0
"gimmicky",0
"wise",0
"chicken",-0.00169276996376482
"raw",-0.0842101405529728
"round",0
"doubtful",-0.0418153669603443
"fanatic",0
"calm",0
"sharp",-0.0830898422574274
"disappointed",-0.599560622592394
"whimsical",0
"social",0
"beloved",0
"limited",0
"wary",0
"soft",0
"haphazard",0
"much",-0.063092327153423
"seasoned",0
"potent",0
"grey",0
"promising",0
"finely",0
"precious",0
"vague",0
"stretched",0
"crisp",0
"captive",0
"friendly",0.220351852545859
"excited",0
"few",-0.00294592640022914
"sober",0
"quick",0.0761403896454436
"faint",0
"unexpectedly",0
"ambitious",0
"fucking",0
"uncooked",-0.381376781732863
"reasonably",0.123055571520608
"unappetizing",-0.294497026699961
"hate",-0.124881863321644
"soured",0
"unexpected",0.0516757368712477
"stellar",0
"surely",0.0618387352866005
"random",0
"dead",-0.167615156452362
"cheesy",0
"liked",0
"hard",-0.0761772283315212
"heavy",-0.0326734530680842
"attractive",0
"closed",-0.189195771237501
"complained",-0.300515449111854
"idiot",-0.0858633939499398
"attendant",-0.0335788582439718
"lmao",0
"reasonable",0.141287566976173
"overwhelming",0
"intelligent",0
"vaguely",0
"freshly",0.00169896577808983
"sophisticated",0
"advanced",0
"lazy",-0.133337530879083
"sexy",0
"green",0
"certain",0
"fitting",0
"worthwhile",0
"inspiring",0
"drowned",0
"cruel",0
"prominent",0
"charismatic",0
"impatient",0
"anxious",0
"loved",0.176939771543177
"lame",-0.140377040753219
"polar",0
"distinctly",0
"unappealing",0
"failed",-0.29679255166364
"least",0
"huge",0.0219505771633713
"insane",0
"noble",0
"brutal",0
"afraid",0
"uniquely",0
"weirdly",0
"young",-0.0191604620343223
"safe",0
"unknown",0
"dreadful",-0.131516868342769
"curious",0
"splendid",0.218944623124056
"smart",0
"inventive",0
"cheerful",0.0140127683341813
"epic",0
"sarcastic",0
"obsessed",0
"secondary",0
"mainly",0
"needless",-0.344512718206934
"seamless",0
"surprising",0
"particular",0
"unbelievable",0
"forgetful",0
"charming",0
"general",-0.00362914965166914
"ready",-0.0378428362946605
"convincing",0
"distasteful",-0.041059220845845
"clear",-0.0334520293433565
"impressed",0.108208243496494
"monkey",0
"conventional",0
"stupid",0
"minus",-0.0169405587861245
"outrageous",-0.397241036071521
"slow",-0.44515824698388
"weird",-0.132142899142522
"casual",0.00825542143054137
"scary",-0.155869930327017
"lush",0.029737439439974
"edgy",0
"haha",0.0175072562442872
"simplistic",0
"tremendous",0.165853817322911
"uncommon",0
"questionable",0
"outdated",-0.293823133289366
"educational",0
"tired",-0.118856078920761
"cute",0.0363432441614541
"complaint",0.0226581774725924
"rough",0.00319428526236859
"engaging",0
"handy",-0.0520968625745024
"hated",0
"awkward",-0.0243845082960898
"conscious",0
"steady",0
"familiar",0
"better",-0.0809886016247084
"memorable",0
"contemporary",0
"expected",-0.18768854549056
"skilled",0
"pointless",0
"worse",-0.0166008379894933
"tragic",0
"atrocious",-0.486820473239476
"odd",-0.0968195946028399
"mental",0
"depressing",-0.179861166058553
"wasted",-0.0321553568874829
"mature",0
"wonky",0
"uncomfortable",-0.191557216065858
"slick",0
"bizarre",-0.105212617252795
"cocky",0
"crap",-0.178165010076049
"high",-0.0225867329550411
"aged",0
"randomly",0.0678755468641799
"subtle",0
"minimal",0
"dramatic",0
"colorful",0
"bored",0
"satisfying",0.0829616934696499
"handsome",0.0520050957609461
"fake",-0.10819254409584
"large",0
"brilliant",0.0516240915894299
"awesomely",0
"importantly",0.0766638997872758
"forgettable",-0.158796122391799
"comfortable",0.0113480594868765
"bitter",-0.0845017797974326
"appropriate",0
"miserable",-0.301805302598733
"sweet",0.0139745012480583
"enjoy",0
"inconvenient",0
"successful",0
"fluff",0
"smiled",0
"decent",-0.189963312480659
"half",-0.0855712044279585
"stylish",0
"desperate",0
"dim",0
"absorbed",0
"bold",0
"madly",0
"important",0
"pregnant",0
"mild",-0.00115835591480815
"infamous",0
"unnoticed",0
"bare",-0.153860678742456
"respectable",0
"magic",0
"crazy",0
"original",0
"useless",0
"ugly",0
"busy",0
"typical",-0.0260006708218419
"sound",0
"precise",0.112158916776334
"lonely",0
"live",0.0298132710863843
"careful",0
"stark",0
"stainless",0
"priceless",0.0863675456646489
"annoying",-0.0134796967702374
"imaginative",0
"sickly",0
"mildly",0
"smile",0.115998449966457
"stiff",0
"tight",0
"single",0.00610348071588171
"partial",0
"energetic",0
"completely",-0.166397882224895
"deserving",0
"black",-0.0178227982775117
"spectacular",0.0788951928613077
"bloody",0
"grand",0
"pale",0
"lousy",-0.252885733521566
"claustrophobic",0
"marked",0
"abruptly",-0.107025283684493
"absence",0
"absolutely",0.0456885731494716
"absurdly",0
"accurately",0
"actively",0
"adequately",0
"allegedly",0
"anger",0
"angrily",-0.0905668052100973
"annoyingly",0
"anxiously",0
"apparently",-0.228703339291639
"appropriately",0
"approximately",-0.0389438843581719
"aptly",0.0599163987704322
"awfully",0
"awkwardly",0
"blatantly",-0.332850292577807
"brightly",0
"brutally",0
"carefully",0
"casually",0
"certainly",0
"cheaply",0
"cheerfully",0
"clearly",-0.157099978872076
"comfortably",0
"confidently",0
"considerably",0
"consistently",0
"creatively",0
"curiously",0
"dangerously",0
"delicately",0
"delightfully",0
"desperately",0
"directly",0
"disappointingly",0
"disgustingly",0
"easily",0.0976873108296865
"effectively",0
"elegantly",0
"evidently",-0.236396618222435
"exactly",0.0537480893941228
"excellently",0
"excessively",0
"excitedly",0
"extremely",-0.041855234599434
"fabulously",0
"fairly",0
"far",0.00185586150481324
"firstly",0
"flawlessly",0
"fortunately",0
"freely",0
"frequently",0.0322290942032464
"generally",0
"gently",0
"gladly",0
"greatly",0
"haphazardly",0
"heavily",0
"hilariously",0
"horribly",-0.165176306427126
"hugely",0
"ideally",0
"impossibly",0
"inexplicably",0
"interestingly",0
"kindly",0
"largely",0
"lately",-0.00225610660935766
"lightly",0
"loosely",0
"loudly",0
"lovingly",0
"magically",-0.0473742839848969
"masterfully",0
"mentally",0
"merely",0
"minimally",0
"miserably",0
"modestly",0
"mostly",-0.0218874451977157
"naturally",0
"nearly",-0.100938075306923
"negatively",0
"newly",0.00558835923874885
"nicely",0
"notably",0
"oddly",-0.099488340057854
"originally",0
"outrageously",0
"overwhelmingly",0
"painfully",0
"partially",0
"particularly",0
"phenomenally",0
"pleasantly",0.170128452671396
"positively",0
"precisely",0
"previously",0
"primarily",0
"professionally",0
"prominently",0.0435199257363068
"proudly",0
"purely",0
"quickly",0.00195003294655716
"rarely",0
"readily",-0.044281893824426
"really",0
"refreshingly",0
"remarkably",0
"respectfully",-0.0158555533103636
"responsibly",0
"ridiculously",0.274002785593423
"rightly",0
"roughly",0
"safely",0
"seamlessly",0
"secretly",0
"seriously",0
"shockingly",0
"significantly",-0.0770707757306309
"sincerely",0
"slightly",0
"socially",0
"spectacularly",0
"steadily",0
"strangely",0
"strongly",0
"successfully",0
"superbly",0
"surprisingly",0
"terribly",-0.0870771136905594
"thoughtfully",0
"tightly",0
"tremendously",0
"truely",0
"truthfully",0
"typically",0
"unusually",0
"usually",0.00585613484667596
"victim",0
"violently",-0.0738951404426297
"widely",0
"willingly",-0.326677822103167
"wisely",0
"action",0
"bass",0
"blech",-0.116130048314042
"coma",0.0792616760866385
"drag",0
"failure",0
"game",-2.13043019749355e-05
"hahaha",0
"harder",0
"kind",0.02597587190462
"mediocrity",-0.122916450718924
"moron",0
"parade",0
"pity",0
"sec",0
"success",0
"sucker",0
"trouble",0
"vacuum",0
"confirmed",-0.324258609655158
"killed",0
"laughed",-0.0184084925592859
"rose",0
