"star","nChar","income","unviersity","nSentence","p.","p..1","very.positive","some.positive","neutral","some.negative","very.negative"
5,101,66000,1,5,5,0,1,2,0,1,0
3,345,80310,0,13,0,0,0,2,0,6,0
4,1062,77736,0,16,1,0,0,6,3,3,0
5,583,35934,1,8,1,0,7,3,2,0,0
1,209,67165,1,4,0,2,0,0,0,1,0
5,149,77736,0,3,0,0,0,2,1,0,0
5,98,66000,1,2,2,0,1,2,0,0,0
4,1048,77736,0,13,0,0,9,10,4,1,1
4,92,80310,0,1,0,0,1,2,1,0,0
5,922,77619,0,14,3,0,5,5,9,2,1
4,524,55043,1,9,2,0,2,4,3,1,0
5,168,35934,1,3,0,0,1,1,0,2,0
1,113,67165,1,2,0,0,0,0,1,0,0
5,308,67165,1,10,4,3,1,2,2,2,0
5,177,63109,1,6,3,0,1,3,0,1,0
4,314,77736,0,4,0,0,0,1,2,1,0
5,327,63109,1,7,0,0,2,0,4,4,0
5,297,77736,0,3,0,0,0,2,2,2,0
4,217,66000,1,4,1,0,1,1,1,1,0
3,1756,66000,1,35,3,3,5,6,5,4,2
4,183,77736,0,2,1,0,1,1,4,2,0
5,384,83084,0,7,0,0,3,2,2,2,0
4,962,67165,1,11,0,0,2,12,3,7,3
5,133,38264,1,4,3,0,1,0,1,0,0
5,231,43706,0,9,6,0,3,3,1,0,0
4,453,67165,1,6,0,0,0,1,0,1,0
3,309,67165,1,8,0,0,0,2,3,0,3
1,689,67165,1,9,0,2,1,2,1,2,0
5,1103,66000,1,12,0,0,1,1,7,4,3
4,677,55043,1,13,0,1,5,6,3,1,0
4,1131,67165,1,20,3,0,3,3,6,2,2
4,1670,55687,1,27,2,0,7,9,9,7,1
1,346,41255,0,4,0,0,0,1,0,0,5
1,476,37316,1,12,3,2,0,0,2,2,1
2,643,66000,1,8,0,0,0,1,2,2,1
4,1097,66000,1,14,1,0,5,6,8,2,1
2,274,38264,1,6,0,0,0,2,1,1,2
5,209,49336,0,7,3,0,3,1,2,1,0
5,528,77619,0,6,0,0,0,3,1,4,0
5,347,77619,0,6,1,0,3,2,2,4,0
5,128,66000,1,6,3,0,2,2,0,1,0
5,249,49336,0,4,0,0,2,1,1,0,0
3,785,37316,1,13,1,0,1,3,3,2,4
5,325,66000,1,5,1,0,4,3,1,0,0
4,395,35934,1,6,2,0,5,2,4,0,0
5,148,37316,1,3,1,0,2,1,0,1,0
5,739,77619,0,13,3,0,4,2,5,1,0
2,102,46162,1,3,0,0,0,1,1,0,1
5,1101,55043,1,18,4,0,6,5,3,0,0
5,1571,66000,1,22,6,0,10,5,7,2,1
4,454,37316,1,7,1,0,0,1,1,6,0
1,799,49336,0,23,16,0,0,0,1,3,3
5,149,67165,1,2,0,0,1,1,1,1,0
5,215,66000,1,4,2,0,1,1,1,0,0
4,322,41255,0,5,4,0,1,2,0,1,0
5,409,55043,1,14,10,0,3,2,2,1,0
4,46,72569,1,3,0,0,0,1,0,0,0
3,678,67165,1,12,2,0,3,3,6,0,4
4,1257,37316,1,16,0,0,0,2,7,9,1
5,584,77619,0,9,1,1,3,2,6,1,0
3,844,66000,1,22,0,2,3,3,2,5,1
5,811,77619,0,13,0,0,4,2,2,1,0
1,2025,49336,0,34,0,0,4,2,11,12,4
3,155,80310,0,3,0,0,0,0,0,2,0
5,558,46162,1,13,6,0,3,2,3,3,0
5,369,77736,0,7,0,0,3,3,5,1,0
3,1372,66000,1,27,6,0,0,11,9,6,1
5,407,77736,0,7,4,0,1,2,0,1,0
4,177,66000,1,6,1,0,1,1,1,2,0
5,389,37316,1,9,2,0,2,8,4,0,1
5,757,67165,1,14,7,1,5,5,4,5,0
5,154,35934,1,4,2,0,3,1,0,0,0
1,367,38264,1,6,1,0,0,2,0,2,2
1,351,77619,0,5,0,0,0,0,0,2,3
5,95,67165,1,3,3,0,0,2,0,1,0
5,265,55687,1,7,0,0,1,1,0,1,0
5,154,66000,1,1,0,0,3,1,0,1,0
2,940,77736,0,11,1,0,0,5,4,3,3
5,679,37316,1,15,1,0,6,4,1,0,0
5,151,67165,1,2,1,0,2,1,0,0,0
5,1644,66000,1,29,9,0,5,6,6,2,1
5,648,67165,1,8,0,0,7,5,3,1,1
5,1079,66000,1,23,1,1,5,8,11,6,0
5,190,67165,1,4,2,0,1,1,1,0,0
4,2766,77619,0,27,0,0,7,16,13,15,2
5,824,35934,1,13,1,0,4,5,3,3,1
1,330,43706,0,3,0,0,0,0,3,1,3
5,197,80310,0,4,2,0,0,0,0,0,0
4,1056,49865,0,12,0,0,3,4,2,4,0
4,1038,66000,1,10,0,0,5,2,4,6,0
4,361,77619,0,5,3,0,2,2,4,0,0
5,420,77736,0,1,0,0,3,4,5,2,0
3,248,80310,0,4,0,0,1,0,0,1,0
4,770,66000,1,14,1,0,3,0,3,2,0
1,999,77736,0,27,1,2,0,2,5,9,0
5,1229,55687,1,21,8,0,6,5,6,8,1
4,1130,77619,0,10,2,0,4,5,3,1,0
4,114,43706,0,3,2,0,2,4,1,0,0
4,320,66000,1,5,2,0,1,2,1,1,0
4,970,37316,1,16,1,0,2,4,7,3,1
2,300,55687,1,6,0,0,0,2,0,0,2
5,689,66000,1,8,0,0,1,2,2,4,0
3,1016,77736,0,13,1,0,0,2,2,6,3
5,228,80310,0,6,0,0,2,1,1,1,0
5,395,55687,1,6,3,0,1,4,3,0,0
3,217,80310,0,4,0,0,1,1,1,1,0
5,176,66000,1,5,0,0,2,2,0,0,0
3,556,66000,1,11,0,0,0,3,0,6,1
1,157,49336,0,6,0,0,0,0,0,0,1
5,1301,67165,1,19,0,0,4,4,3,3,0
4,552,66000,1,7,0,0,4,7,0,0,0
5,135,35934,1,5,0,0,1,2,0,0,0
2,408,66000,1,9,2,0,3,0,1,4,3
5,469,77736,0,11,3,0,0,6,2,2,0
1,784,35934,1,11,1,0,2,1,0,5,3
1,707,49425,0,11,0,0,0,1,0,6,4
3,1091,46162,1,8,0,0,0,1,3,3,1
1,753,72569,1,12,0,0,0,2,1,3,2
5,225,66000,1,5,2,0,1,4,0,1,0
5,163,72569,1,5,1,0,0,3,0,1,0
4,1717,77736,0,20,3,0,10,10,12,8,1
3,873,77736,0,7,0,0,0,4,5,4,1
4,86,66000,1,1,1,0,0,1,0,2,0
2,290,66000,1,6,0,0,2,1,0,1,0
4,426,43706,0,6,0,0,1,4,1,2,0
4,139,67165,1,4,0,0,3,1,0,0,1
3,214,67165,1,6,0,0,1,3,2,1,0
2,192,49336,0,1,0,0,0,1,1,0,0
3,273,38919,1,6,0,0,1,2,2,1,0
5,209,55687,1,3,0,0,0,3,1,0,0
4,115,66000,1,3,0,0,0,3,1,1,0
4,156,35934,1,2,0,0,0,2,2,1,0
2,424,83084,0,9,0,0,-1,2,1,2,2
3,686,67165,1,5,0,0,0,1,3,1,3
5,209,80310,0,4,2,0,1,0,1,1,0
5,119,67165,1,4,0,0,2,3,0,0,0
4,1970,35934,1,22,0,0,3,15,7,16,2
3,632,66000,1,10,0,0,0,4,2,4,1
5,203,80310,0,4,1,0,1,0,0,1,0
5,600,38919,1,7,0,0,5,4,1,2,-1
5,228,77736,0,3,0,0,2,2,1,1,0
5,502,26724,1,9,1,0,2,0,4,1,0
5,252,77619,0,12,7,0,2,1,0,1,0
3,669,66000,1,8,0,0,0,3,1,2,0
5,508,80310,0,8,1,0,2,3,4,1,1
5,274,72569,1,4,3,0,2,2,1,2,0
1,207,80310,0,6,0,0,-1,0,0,0,3
3,1990,77619,0,36,0,0,2,6,6,10,5
4,1040,66000,1,12,1,0,9,2,5,2,0
3,1007,37316,1,21,0,1,2,2,2,2,3
3,361,46162,1,15,0,0,-1,3,2,0,0
5,249,66000,1,6,0,0,4,2,3,0,0
1,368,80310,0,15,0,0,0,3,0,5,4
3,353,35934,1,3,0,0,0,2,0,0,0
4,436,35934,1,7,4,0,3,1,2,0,0
5,328,35934,1,5,0,0,3,4,2,0,0
5,443,49425,0,8,1,0,1,1,2,3,1
5,159,77619,0,1,0,0,0,0,0,0,0
4,931,89129,0,8,1,0,3,4,3,6,0
5,548,66000,1,8,4,0,2,1,3,0,0
5,355,37316,1,6,1,0,4,1,0,1,0
4,816,66000,1,9,2,0,1,2,5,5,0
4,147,63109,1,4,0,0,2,2,2,1,0
5,116,55043,1,2,1,0,1,0,0,0,0
4,2261,66000,1,25,4,0,8,9,17,7,4
5,1364,55043,1,10,0,0,1,8,4,4,0
4,191,35934,1,2,0,0,0,2,3,4,0
5,622,77736,0,7,1,0,3,4,8,1,0
5,499,67165,1,11,0,0,2,3,8,5,0
3,713,66000,1,9,0,0,2,3,1,2,1
5,268,49425,0,7,2,0,5,0,2,0,0
3,741,66000,1,16,0,0,1,4,2,5,3
2,205,37316,1,4,0,0,0,1,0,1,1
2,183,77736,0,4,0,0,1,0,2,1,0
5,163,41255,0,4,0,0,3,2,3,0,0
1,450,43706,0,12,10,2,0,1,1,0,0
5,2054,49425,0,37,21,0,9,9,10,12,2
5,494,66000,1,10,4,0,4,1,1,2,0
1,584,46162,1,9,3,0,1,2,3,5,3
1,118,49336,0,7,6,0,0,1,1,0,1
4,186,55043,1,3,0,0,0,4,1,3,0
5,128,46162,1,4,3,0,1,1,1,1,0
5,184,55043,1,4,1,0,2,0,3,0,-1
2,666,35934,1,11,0,0,0,1,0,2,1
4,449,66000,1,6,0,0,1,3,2,2,0
5,259,37316,1,6,1,2,0,0,0,1,0
5,473,66000,1,7,1,0,2,2,2,1,2
3,1602,66000,1,41,0,2,1,7,11,9,1
4,1139,66000,1,18,3,0,7,4,8,3,0
5,776,77619,0,13,0,0,5,4,7,4,0
4,1343,63109,1,27,0,0,6,3,8,9,0
5,573,35934,1,14,6,0,3,4,4,3,0
5,115,67165,1,2,0,0,1,1,1,0,0
5,392,66000,1,6,1,0,4,1,3,1,0
4,277,36695,1,8,0,0,4,2,1,0,0
5,315,66000,1,3,2,0,2,3,0,0,0
5,118,35934,1,3,0,0,1,0,0,0,0
4,105,67165,1,3,1,0,1,1,1,2,0
4,276,66000,1,5,1,0,1,1,1,2,0
5,277,35934,1,4,1,0,2,4,2,1,0
5,355,72569,1,6,2,0,4,5,2,1,0
1,919,38264,1,15,1,0,0,1,2,1,4
4,288,80310,0,13,2,0,2,0,2,0,0
4,1538,72569,1,22,0,0,6,7,12,8,0
5,344,83084,0,5,1,0,2,1,4,1,0
3,306,63109,1,5,0,0,1,1,1,2,1
3,2363,66000,1,33,6,1,5,10,7,9,3
5,86,46162,1,3,0,0,2,0,0,0,0
4,1680,66000,1,20,0,0,0,2,12,5,4
5,99,72569,1,6,4,0,1,1,0,0,0
4,405,83084,0,5,2,0,6,3,3,1,0
5,376,66000,1,6,0,0,4,1,0,0,0
4,154,66000,1,6,2,0,2,0,1,0,0
1,264,77736,0,3,0,0,0,0,1,2,3
5,1403,67165,1,25,2,3,4,5,4,2,0
3,994,37316,1,13,0,0,0,0,1,11,2
3,812,80310,0,24,1,0,0,1,2,6,3
4,2401,72569,1,38,10,2,7,13,17,5,0
5,411,27266,1,5,0,0,3,3,3,1,1
5,288,37316,1,4,1,0,0,5,2,1,0
5,580,98140,1,12,1,0,6,0,2,3,0
5,531,72569,1,5,3,0,1,2,0,1,0
5,93,55687,1,5,0,0,3,2,0,0,0
4,830,66000,1,10,0,1,2,8,5,6,2
5,208,80310,0,4,2,0,0,0,0,0,0
3,1539,55043,1,9,0,0,4,5,2,5,1
3,993,66000,1,15,0,0,2,9,4,6,2
1,1763,83084,0,17,1,0,2,1,1,6,4
5,173,66000,1,3,0,0,0,0,0,1,0
5,1236,45166,0,17,2,0,2,3,1,3,3
4,679,109742,0,11,0,0,2,6,5,2,0
4,264,72569,1,4,0,0,3,0,1,1,0
1,97,37316,1,5,0,0,0,1,0,0,1
5,451,80310,0,5,2,0,7,3,2,1,0
1,1630,63109,1,22,0,0,0,3,2,9,4
5,528,77736,0,11,1,0,3,6,1,2,0
1,201,37316,1,2,0,0,0,0,2,1,0
5,129,49425,0,3,1,0,2,2,2,0,0
4,2492,37316,1,36,5,0,3,9,11,11,4
1,904,55687,1,11,0,0,0,0,1,6,2
3,426,55043,1,4,0,0,1,0,1,4,0
5,445,63109,1,8,1,0,1,6,4,0,0
5,224,66000,1,4,2,0,4,1,3,0,0
1,374,77619,0,5,0,0,1,1,0,0,2
5,191,55687,1,3,2,0,2,2,0,0,0
5,89,55687,1,5,5,0,2,2,0,0,0
5,203,77736,0,5,2,0,1,2,0,0,1
5,799,66000,1,7,1,0,2,0,3,4,1
5,241,72569,1,7,2,0,5,1,1,2,0
5,1746,66000,1,25,0,1,8,7,14,6,1
5,102,55687,1,1,0,0,0,1,0,0,1
5,131,72569,1,6,3,0,1,2,1,0,0
4,610,67165,1,8,0,0,2,3,4,1,1
5,340,66000,1,7,7,0,1,2,5,2,0
5,606,77619,0,9,2,0,1,4,4,6,0
5,189,77736,0,3,1,0,5,3,0,0,0
4,903,35934,1,12,0,0,6,2,5,6,2
5,845,77619,0,12,4,0,2,8,0,1,1
5,299,55043,1,6,0,0,0,1,2,0,0
4,488,66000,1,8,0,2,1,-1,7,1,1
5,554,77619,0,5,0,0,1,1,2,0,0
1,2445,41255,0,95,6,0,2,7,16,9,5
5,362,77619,0,3,0,0,1,0,3,2,0
5,773,55043,1,16,1,1,0,3,1,3,2
1,621,77736,0,11,0,0,1,4,0,10,4
5,1367,67165,1,17,5,0,4,10,6,3,0
5,307,49865,0,5,2,0,2,1,0,2,0
5,253,67165,1,4,0,0,2,2,3,0,0
5,590,66000,1,6,1,0,6,1,4,4,1
5,1474,66000,1,24,16,0,5,10,11,5,0
1,427,55043,1,6,0,0,1,1,1,5,2
1,439,37316,1,17,5,4,0,3,1,2,2
1,304,77736,0,2,0,0,0,0,0,1,0
4,985,66000,1,32,0,0,2,5,4,6,0
5,1293,66000,1,17,0,0,2,1,3,8,1
1,406,35934,1,16,1,1,0,1,1,3,1
1,476,77736,0,7,0,0,1,2,0,4,4
3,232,77736,0,5,0,0,1,0,1,2,1
4,211,45166,0,3,0,0,2,1,0,1,0
4,242,67165,1,4,1,0,3,2,1,1,0
5,625,46162,1,9,0,0,3,5,1,3,0
5,1100,35934,1,19,4,1,7,7,3,1,0
5,249,37316,1,4,0,0,3,0,0,0,0
5,443,19167,1,5,0,1,1,3,2,1,0
4,670,43706,0,7,2,0,6,6,9,2,0
5,158,98140,1,4,0,0,2,2,1,1,0
5,569,66000,1,8,2,0,3,0,4,1,0
3,752,80310,0,14,1,0,2,4,4,4,2
3,2171,37316,1,47,0,1,5,11,11,22,5
4,181,27266,1,4,2,0,1,1,0,0,0
2,109,66000,1,3,0,0,0,0,1,0,1
4,1143,55687,1,16,3,1,3,5,7,4,1
5,460,66000,1,6,0,0,4,1,0,1,0
1,828,35934,1,13,1,0,2,1,1,5,2
5,118,80310,0,3,0,0,2,1,0,1,0
4,1510,67165,1,16,6,0,5,10,12,11,0
4,517,66000,1,5,0,0,1,4,1,6,0
4,167,77736,0,3,0,0,4,1,1,0,1
5,200,72569,1,5,0,0,2,1,1,0,0
5,183,72569,1,4,2,0,2,7,2,2,0
3,194,66000,1,4,0,0,1,1,0,1,0
1,205,38919,1,3,0,0,0,1,1,1,2
5,345,66000,1,5,0,0,2,4,4,3,0
5,898,66000,1,14,0,0,2,6,7,2,0
1,1018,77736,0,14,0,0,0,3,3,8,1
3,989,67165,1,13,0,0,0,3,10,7,-1
2,441,98140,1,6,2,0,1,3,3,1,1
4,298,66000,1,9,2,0,2,2,3,0,0
1,645,49336,0,10,2,0,0,4,0,0,0
3,725,98140,1,12,0,0,1,3,4,6,3
5,194,55687,1,6,2,0,2,0,0,1,0
4,964,55043,1,12,0,0,1,5,7,6,0
1,503,67165,1,10,0,0,0,0,0,4,4
3,245,83084,0,4,0,0,0,2,0,0,0
3,298,37316,1,3,0,0,1,1,2,4,0
3,525,41255,0,12,0,0,0,0,0,4,1
5,300,98140,1,3,1,0,1,4,0,0,0
5,834,66000,1,21,0,0,0,7,2,7,0
1,259,98140,1,6,0,0,0,1,1,0,1
2,882,66000,1,14,1,1,2,0,1,5,0
1,388,55687,1,12,0,0,1,0,7,3,3
1,1243,35934,1,26,0,1,1,2,5,5,5
3,747,83084,0,17,0,0,1,3,1,2,2
5,90,38264,1,6,4,0,0,2,0,0,0
4,1093,67165,1,11,2,0,2,6,2,5,0
5,328,49865,0,13,0,0,0,2,1,2,0
5,113,43706,0,3,0,0,3,0,1,0,0
4,1781,35934,1,21,0,0,7,8,5,9,0
4,446,66000,1,10,4,0,3,5,3,4,0
5,572,67165,1,7,0,0,3,1,2,1,0
3,992,66000,1,10,0,0,2,4,6,6,3
3,566,66000,1,11,2,0,3,6,2,3,3
4,395,77736,0,7,0,0,0,3,1,3,1
1,194,66000,1,5,0,0,0,1,0,1,1
5,330,80310,0,6,0,0,1,1,1,0,0
2,262,98140,1,3,0,0,0,1,3,1,1
5,132,67165,1,6,6,0,2,1,1,0,0
2,172,66000,1,3,0,0,0,1,1,0,1
4,290,45166,0,6,1,0,1,2,1,1,0
3,544,77619,0,5,0,0,1,4,2,2,3
4,304,49865,0,6,3,0,5,2,2,0,0
4,414,37316,1,7,3,0,2,4,1,1,0
5,215,49336,0,5,4,0,2,1,2,1,0
3,588,35934,1,8,0,0,2,1,1,2,0
4,147,38919,1,12,4,0,1,0,0,1,0
5,304,66000,1,6,1,0,3,1,1,0,0
5,321,55687,1,5,0,0,2,3,0,1,0
5,340,67165,1,5,2,0,4,1,1,3,0
1,146,37316,1,3,0,0,0,0,2,0,0
4,278,83084,0,7,0,0,1,1,1,0,0
3,818,37316,1,21,1,4,1,0,2,2,0
5,1028,80310,0,31,3,0,4,5,7,0,0
4,489,35934,1,6,1,0,4,4,1,1,1
5,325,55043,1,7,0,0,2,3,1,1,0
5,150,72569,1,3,0,0,1,1,1,0,0
1,106,67165,1,5,2,0,0,0,0,1,3
5,1564,37316,1,14,2,0,6,5,3,3,0
5,95,67165,1,3,3,0,0,0,0,0,0
5,135,98140,1,3,0,0,1,2,1,1,0
1,394,83084,0,14,4,0,2,0,3,3,2
5,516,66000,1,7,0,0,2,9,3,3,0
5,59,77736,0,3,0,0,1,1,0,0,0
5,462,66000,1,12,2,0,2,7,1,0,0
4,626,80310,0,18,4,0,7,3,1,3,1
5,89,77736,0,2,1,0,3,1,0,1,0
2,1600,72569,1,16,0,0,4,11,3,4,1
5,1299,66000,1,20,1,0,5,9,7,5,1
3,305,66000,1,5,0,0,0,3,0,2,0
5,129,66000,1,3,1,0,2,3,0,1,0
4,113,80310,0,6,3,0,1,1,0,1,0
5,120,37316,1,2,1,1,3,3,0,0,0
3,350,77736,0,3,0,0,1,2,1,0,0
5,107,37316,1,2,1,0,2,1,0,0,0
5,326,35934,1,5,4,0,1,3,0,0,0
4,243,49425,0,2,0,0,0,1,2,1,0
4,1204,109742,0,13,2,0,1,9,8,10,0
4,407,98140,1,8,0,0,1,1,0,5,0
5,132,35934,1,4,1,0,1,0,0,1,0
4,810,66000,1,13,3,1,6,3,11,3,1
5,641,66000,1,11,3,0,2,4,2,3,0
5,121,66000,1,3,1,0,2,0,1,0,0
1,370,45166,0,12,0,3,1,3,0,4,1
3,783,66000,1,16,1,0,1,6,5,3,0
4,1345,67165,1,15,2,1,2,3,5,3,3
4,3706,66000,1,42,7,0,8,18,18,12,2
5,1847,67165,1,41,5,0,4,12,8,8,0
5,188,35934,1,6,0,0,1,1,0,0,0
5,204,66000,1,7,6,0,0,4,0,0,1
2,299,66000,1,7,0,0,0,0,0,0,0
5,364,55043,1,7,1,0,3,1,0,0,0
5,654,77736,0,11,6,0,7,4,1,0,0
1,404,36695,1,5,0,0,0,2,1,3,2
2,1007,63109,1,12,0,0,2,0,4,4,0
5,100,37316,1,4,0,0,0,3,2,0,0
4,1124,72569,1,16,1,0,2,4,6,8,0
3,481,77736,0,10,0,2,2,2,2,5,2
5,406,83084,0,7,0,0,0,5,1,1,0
4,103,55687,1,3,0,0,1,3,2,0,0
5,276,72569,1,4,0,0,4,5,0,1,0
5,321,55043,1,12,8,0,3,4,0,1,0
4,290,55043,1,8,1,0,2,2,3,2,0
4,1209,35934,1,28,1,1,2,5,5,7,2
3,1019,37316,1,22,0,0,3,7,0,4,3
5,342,55687,1,4,3,0,3,0,1,1,0
4,1099,63109,1,22,2,0,1,9,3,8,3
2,1516,49336,0,17,0,2,0,6,14,15,3
5,201,66000,1,8,0,0,0,0,0,1,0
5,164,77736,0,2,0,0,2,1,0,0,0
4,98,49865,0,3,0,0,2,2,0,0,0
4,198,55043,1,3,0,0,2,0,3,1,0
5,602,66000,1,23,14,0,4,5,1,2,-1
3,824,49336,0,9,0,0,1,3,8,6,4
5,792,63109,1,10,0,0,1,5,6,3,2
5,1296,55043,1,15,0,0,6,8,7,5,0
3,1155,19167,1,11,0,0,0,4,10,10,1
3,511,67165,1,6,1,0,3,0,2,1,0
4,161,49865,0,3,0,0,2,1,1,1,1
1,749,77736,0,10,0,0,0,1,3,4,3
2,670,45166,0,8,1,0,1,1,2,4,1
3,1246,46162,1,10,0,0,4,3,1,2,0
3,276,66000,1,6,0,0,0,3,3,1,1
3,1232,67165,1,14,0,1,0,4,7,3,4
5,448,46162,1,10,2,0,3,0,3,2,0
4,963,77619,0,16,3,0,3,8,3,3,1
4,587,41255,0,14,0,0,0,0,4,3,1
5,697,37316,1,11,0,0,3,2,4,6,0
4,239,72569,1,7,0,1,5,3,0,0,0
3,246,63109,1,5,0,1,0,2,1,2,1
5,144,26724,1,3,0,0,2,1,1,1,0
4,174,49336,0,4,0,0,0,1,2,2,0
4,337,55043,1,4,0,0,0,3,3,0,0
4,518,37316,1,9,0,0,3,1,2,2,0
4,287,35934,1,4,0,0,1,0,2,2,0
4,127,37316,1,2,0,0,0,1,1,1,0
5,339,72569,1,4,0,0,3,6,0,0,0
5,1031,55043,1,11,4,0,6,6,5,0,0
3,618,66000,1,8,1,0,1,0,3,5,1
3,500,83084,0,9,1,0,0,1,1,0,1
1,592,80310,0,12,0,1,0,2,3,4,4
3,412,37116,1,3,0,0,0,0,5,2,2
2,1763,67165,1,26,0,0,5,3,7,8,4
5,285,67165,1,5,1,0,3,3,0,0,0
3,189,80310,0,4,0,0,1,1,2,3,1
5,126,49336,0,3,1,0,2,1,1,0,0
5,169,98140,1,6,5,0,0,0,1,0,0
4,60,55043,1,2,1,0,1,1,0,0,0
1,227,35934,1,5,0,0,0,0,1,0,0
4,115,37316,1,1,0,0,0,1,0,2,0
3,709,37316,1,11,0,0,2,1,3,6,1
3,316,80310,0,6,0,0,-1,2,2,2,1
2,682,66000,1,6,0,0,1,3,3,0,1
4,347,35934,1,6,1,1,2,1,0,1,0
5,258,49865,0,3,0,0,1,2,3,1,0
2,1921,45166,0,14,0,0,0,0,17,8,2
5,1013,77736,0,11,1,0,6,2,8,1,0
1,622,46162,1,9,0,0,0,0,1,1,2
4,1370,55687,1,13,0,0,9,5,5,10,1
4,375,66000,1,6,1,0,3,5,4,2,0
3,849,66000,1,18,0,0,2,5,2,7,1
5,191,67165,1,9,0,0,2,1,0,0,0
4,823,35934,1,9,1,0,4,5,4,3,0
5,694,37316,1,20,6,0,8,1,5,2,0
5,518,55043,1,10,3,0,1,4,1,3,0
4,617,67165,1,6,2,0,0,7,3,3,1
2,344,67165,1,6,0,0,0,3,2,1,2
4,796,83084,0,26,4,2,4,2,2,7,0
4,222,80310,0,5,2,0,0,1,2,1,0
4,495,66000,1,4,0,0,1,7,3,3,1
